Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,External IP
17242,1541,36022,2610,80,6,72,5008207,8,7,319.0,11632.0,319.0,0.0,39.875,112.7835316,5792.0,0.0,1661.714286,2124.411582,2386,2,357729.0714,1335335.162,4997209.0,2.0,10998.0,1571.142857,2435.188318,5998.0,2.0,5007879.0,834646.5,2042355.93,5003587.0,47.0,0,0,0,0,264,232,1.597378064,1.397705806,0.0,5792.0,746.9375,1582.88595,2505527.929,0,0,0,1,0,0,0,0,0.0,796.7333333,39.875,1661.714286,0,0,0,0,0,0,8,319,7,11632,29200,235,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS GoldenEye,0.0
16935,1541,35408,2610,80,6,17,3272108,2,0,712.0,0.0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,217,0,3272108.0,0.0,3272108.0,3272108.0,3272108.0,3272108.0,0.0,3272108.0,3272108.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,0.611226769,0.0,356.0,356.0,356.0,0.0,0.0,0,1,0,0,1,1,0,0,0.0,534.0,356.0,0.0,0,0,0,0,0,0,2,712,0,0,229,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Slowhttptest,0.0
123401,769,54966,1409,9917,6,112,64,1,1,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,125000,31250,64.0,0.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,20,15625.0,15625.0,2.0,6.0,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1.0,5.0,2.0,6.0,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.0
10181,1495,48542,2560,22,6,272,11350348,21,32,2008.0,2745.0,640.0,0.0,95.61904762,140.0451628,976.0,0.0,85.78125,220.240592,418,4,218275.9231,591861.5521,2199185.0,4.0,9543773.0,477188.65,849331.1102,2268519.0,496.0,11400000.0,366136.2258,734613.3713,2199185.0,4.0,0,0,0,0,680,1032,1.850163537,2.819296818,0.0,976.0,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1.0,89.67924528,95.61904762,85.78125,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSH-Patator,0.0
88314,2203,35349,2632,443,6,354,4,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3000000,500000,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,500000.0,0.0,6.0,6.0,6.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
17720,1541,36978,2610,80,6,51,99676974,9,6,384.0,11595.0,384.0,0.0,42.66666667,128.0,4344.0,0.0,1932.5,2178.085008,120,0,7119783.857,26600000.0,99500000.0,0.0,99500000.0,12400000.0,35200000.0,99500000.0,0.0,188676.0,37735.2,75474.36413,172189.0,53.0,0,0,0,0,296,200,0.090291666,0.060194444,0.0,4344.0,748.6875,1577.055007,2487102.496,0,0,0,0,1,0,0,0,0.0,798.6,42.66666667,1932.5,0,0,0,0,0,0,9,384,6,11595,251,235,1,32,1000.0,0.0,1000.0,1000.0,99500000.0,0.0,99500000.0,99500000.0,DoS Hulk,0.0
96151,1592,8080,1597,2895,6,39,21,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,571428,95238,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,47619.04762,47619.04762,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,9.0,6.0,6.0,0,0,0,0,0,0,1,6,1,6,237,16393,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot,0.0
28844,1541,59222,2610,80,6,54,100901850,9,7,311.0,11595.0,305.0,0.0,34.55555556,101.4360773,4344.0,0.0,1656.428571,1547.737688,117,0,6726790.0,25700000.0,99800000.0,1.0,101000000.0,12600000.0,35200000.0,99800000.0,1.0,150610.0,25101.66667,54677.71281,136134.0,34.0,0,0,0,0,292,232,0.08919559,0.069374347,0.0,4344.0,700.3529412,1258.319809,1583368.743,0,0,0,0,1,0,0,0,0.0,744.125,34.55555556,1656.428571,0,0,0,0,0,0,9,311,7,11595,251,235,2,20,1045.0,0.0,1045.0,1045.0,99800000.0,0.0,99800000.0,99800000.0,DoS Hulk,0.0
96119,1344,2846,1920,8080,6,36,122807,4,3,210.0,134.0,198.0,0.0,52.5,97.04122835,128.0,0.0,44.66666667,72.23111056,2801,57,20467.83333,49177.98622,120850.0,12.0,122807.0,40935.66667,70324.7311,122139.0,48.0,121414.0,60707.0,85055.04628,120850.0,564.0,0,0,0,0,92,72,32.57143322,24.42857492,0.0,198.0,43.0,76.44232186,5843.428571,0,0,0,1,0,0,0,0,0.0,49.14285714,52.5,44.66666667,0,0,0,0,0,0,4,210,3,134,8192,237,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bot,0.0
12616,1495,53246,2560,21,6,456,3,2,0,14.0,0.0,14.0,0.0,7.0,9.899494937,0.0,0.0,0.0,0.0,4666666,666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,666666.6667,0.0,0.0,14.0,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0.0,14.0,7.0,0.0,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,0.0
