Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,External IP
91030,769,48416,1409,20222,6,130,68,1,1,2.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,0.0,117647,29411,68.0,0.0,68.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,20,14705.88235,14705.88235,2.0,6.0,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1.0,5.0,2.0,6.0,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.0
14392,1495,56818,2560,21,6,483,224,2,1,14.0,0.0,14.0,0.0,7.0,9.899494937,0.0,0.0,0.0,0.0,62500,13392,112.0,32.52691193,135.0,89.0,224.0,224.0,0.0,224.0,224.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,8928.571429,4464.285714,0.0,14.0,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0.0,9.333333333,7.0,0.0,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator,0.0
213221,2269,63542,2750,53,17,20578,60757,2,2,66.0,180.0,33.0,33.0,33.0,0.0,90.0,90.0,90.0,0.0,4048,65,20252.333333333336,35072.0081308917,60750.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,64,40,32.918017676975495,32.918017676975495,33.0,90.0,55.8,31.22018577779447,974.7,0,0,0,0,0,0,0,0,1.0,69.75,33.0,90.0,0,0,0,0,0,0,2,66,2,180,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
17601,1541,36740,2610,80,6,22,63134800,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,10500000.0,11900000.0,32100000.0,999276.0,63100000.0,10500000.0,11900000.0,32100000.0,999276.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,280,0,0.110873876,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,0,0,29200,-1,0,40,7007238.0,0.0,7007238.0,7007238.0,18700000.0,12200000.0,32100000.0,8015921.0,DoS Slowhttptest,0.0
53294,3255,80,2552,57098,6,324,56,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35714,56.0,0.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,17857.14286,17857.14286,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1315,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
67843,2141,44631,8235,443,6,457,6039688,7,4,635.0,150.0,517.0,0.0,90.71428571,190.7072051,150.0,0.0,37.5,75.0,129,1,603968.8,1718692.703,5491599.0,3.0,6039688.0,1006614.667,2281950.817,5663059.0,17.0,413693.0,137897.6667,135186.6875,270203.0,3.0,0,0,0,0,232,136,1.159000266,0.662285866,0.0,517.0,65.41666667,149.8383725,22451.53788,0,0,0,1,0,0,0,0,0.0,71.36363636,90.71428571,37.5,0,0,0,0,0,0,7,635,4,150,29200,57,3,32,548072.0,0.0,548072.0,548072.0,5491599.0,0.0,5491599.0,5491599.0,BENIGN,0.0
24547,1541,50628,2610,80,6,33,800033,2,0,712.0,0.0,356.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,889,2,800033.0,0.0,800033.0,800033.0,800033.0,800033.0,0.0,800033.0,800033.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,2.499896879,0.0,356.0,356.0,356.0,0.0,0.0,0,1,0,0,1,1,0,0,0.0,534.0,356.0,0.0,0,0,0,0,0,0,2,712,0,0,229,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS Slowhttptest,0.0
16470,1541,34478,2610,80,6,72,11303539,9,6,538.0,11632.0,538.0,0.0,59.77777778,179.3333333,4392.0,0.0,1938.666667,2190.718847,1076,1,807395.6429,1860169.983,5300295.0,16.0,6301574.0,787696.75,1856796.274,5301029.0,228.0,10300000.0,2061018.8,2823644.798,5300295.0,16.0,0,0,0,0,304,200,0.796210815,0.53080721,0.0,4392.0,760.625,1582.812976,2505296.917,0,0,0,1,0,0,0,0,0.0,811.3333333,59.77777778,1938.666667,0,0,0,0,0,0,9,538,6,11632,29200,235,1,32,999405.0,0.0,999405.0,999405.0,5300295.0,0.0,5300295.0,5300295.0,DoS GoldenEye,0.0
69050,1539,26844,1901,53,17,207,61801,2,2,76.0,376.0,38.0,38.0,38.0,0.0,188.0,188.0,188.0,0.0,7313,64,20600.33333,35674.76181,61794.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,64,80,32.36193589,32.36193589,38.0,188.0,98.0,82.15838363,6750.0,0,0,0,0,0,0,0,0,1.0,122.5,38.0,188.0,0,0,0,0,0,0,2,76,2,376,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.0
3088,426,15908,867,80,6,27,277058,3,5,26.0,11607.0,20.0,0.0,8.666666667,10.26320288,8675.0,0.0,2321.4,3769.536019,41987,28,39579.71429,104109.9435,275678.0,17.0,954.0,477.0,552.9575029,868.0,86.0,277041.0,69260.25,137612.4025,275678.0,166.0,0,0,0,0,72,112,10.82805766,18.04676277,0.0,8675.0,1292.555556,2931.429562,8593279.278,0,0,0,1,0,0,0,0,1.0,1454.125,8.666666667,2321.4,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS,0.0
